album_id;musicas
1;['Green Light', 'Sober', 'Homemade Dynamite', 'The Louvre', 'Liability', 'Hard Feelings/Loveless', 'Sober II (Melodrama)', 'Writer in the Dark', 'Supercut', 'Liability (Reprise)', 'Perfect Places']
2;['two reverse', 'ingydar', 'anything', 'forwards beckon rebound', 'heavy focus', 'half return', 'come', 'zombie girl', 'not a lot, just forever']
3;['Born to Die', 'Off to the Races', 'Blue Jeans', 'Video Games', 'Diet Mountain Dew', 'National Anthem', 'Dark Paradise', 'Radio', 'Carmen', 'Million Dollar Man', 'Summertime Sadness', 'This Is What Makes Us Girls', 'Without You', 'Lolita', 'Lucky Ones']
4;['Villains Theme', 'Loose Change', 'Gravity', 'Addictions', 'Dead Man Walking', 'Wasting Time (feat. Drake)', 'Price of Fame', 'All Mine', 'Ghetto Gatsby', 'Unholy Trinity', 'Fell In Love', 'Demon Time', 'Show U Off', 'Forever', 'Skit', 'Skit 2', 'Skit 3', 'Skit 4']
